"","Gene","adjpval"
"1","Q13148",3.86245774075036e-13
"2","Q9UKM9",6.96951932810718e-13
"3","P07910",6.96951932810718e-13
"4","Q15717",8.99669687912886e-13
"5","Q96T37",2.11315644553929e-12
"6","Q92879",1.27698288791159e-11
"7","Q96PK6",1.67667668785036e-11
"8","P26368",3.1056044339738e-11
"9","Q9NZI8",3.28320814528016e-11
"10","O43390",3.66653735768285e-11
"11","Q01085",6.87466882700108e-11
"12","P23246",1.30201901298156e-10
"13","P26599",1.30201901298156e-10
"14","Q15233",1.52898584528581e-10
"15","O60506",3.68899685860186e-10
"16","Q9NUD5",3.68899685860186e-10
"17","P52272",4.38011004786196e-10
"18","Q9BQC6",4.62041479087001e-10
"19","Q6ZN17",5.41545925499044e-10
"20","Q7Z2W4",5.41545925499044e-10
"21","P31483",7.4629007393558e-10
"22","O00425",8.66506770706401e-10
"23","Q96I24",1.16128627667411e-09
"24","P14866",1.59361525433956e-09
"25","Q6PKG0",2.16368341253303e-09
"26","P51991",2.66799906088213e-09
"27","P67809",3.43728183182242e-09
"28","P22626",3.43728183182242e-09
"29","Q4G0J3",4.49461169195095e-09
"30","Q9NQ94",4.58658218466997e-09
"31","O76021",4.58658218466997e-09
"32","Q13151",5.05087315668573e-09
"33","P52597",5.24898897958642e-09
"34","Q92945",5.39372538182894e-09
"35","O75534",5.39372538182894e-09
"36","P42704",5.54602362516492e-09
"37","P09651",6.42079601407075e-09
"38","Q8WXF1",7.10525657886429e-09
"39","Q14692",7.61383367682602e-09
"40","P33240",7.61383367682602e-09
"41","P31942",7.61383367682602e-09
"42","Q9BWF3",9.54702118303286e-09
"43","Q8TDD1",1.17432961914804e-08
"44","P46777",1.17827741015628e-08
"45","P05455",1.20468485904707e-08
"46","Q9Y6M1",1.34410444643246e-08
"47","P43243",1.39309991237243e-08
"48","P31943",1.46861718256665e-08
"49","Q9NR30",1.52945995103707e-08
"50","Q14690",1.63579301892126e-08
"51","Q96EP5",1.63579301892126e-08
"52","Q9Y4C8",2.28453730583916e-08
"53","Q9UQ80",2.30886904146552e-08
"54","O14979",2.48103589835596e-08
"55","Q96EY7",2.52691540106907e-08
"56","P50914",2.58762234240494e-08
"57","Q99729",2.8456608376134e-08
"58","Q5JTH9",2.8738083682922e-08
"59","P38159",2.92820157082872e-08
"60","P35637",2.92820157082872e-08
"61","Q12905",3.01021747464186e-08
"62","Q92900",3.01021747464186e-08
"63","P62280",3.01021747464186e-08
"64","Q14103",3.30688181979016e-08
"65","P17844",4.42952622707253e-08
"66","Q9HCE1",5.07023357893786e-08
"67","Q9NUQ6",5.52072545441165e-08
"68","Q96GQ7",5.57647467390601e-08
"69","Q13242",5.93826476782342e-08
"70","Q00839",5.97907628329504e-08
"71","P19338",6.00927789615252e-08
"72","P61978",6.00927789615252e-08
"73","Q13310",6.00927789615252e-08
"74","Q9NZB2",6.17878639773299e-08
"75","Q96E39",6.17878639773299e-08
"76","O00571",6.17878639773299e-08
"77","Q9NY12",6.27365737320142e-08
"78","Q8IX01",6.28894261552492e-08
"79","P15880",6.3226539756459e-08
"80","Q9NW13",6.5958272348129e-08
"81","Q7KZF4",6.98735917466101e-08
"82","P84103",9.09474049408347e-08
"83","Q14671",1.06355778025766e-07
"84","P16989",1.23785902391892e-07
"85","Q12849",1.25497235362733e-07
"86","P62847",1.32788679709712e-07
"87","Q7Z4V0",1.35417223474546e-07
"88","Q9GZT3",1.35417223474546e-07
"89","Q9NW64",1.55005346047941e-07
"90","Q7L2E3",1.80773074882444e-07
"91","Q92841",1.89772967999969e-07
"92","Q12906",1.89772967999969e-07
"93","Q969S3",1.91666468594925e-07
"94","Q15365",1.95315210733048e-07
"95","Q00341",2.00406146587137e-07
"96","Q07002",2.11029438787585e-07
"97","P62917",2.1160622356463e-07
"98","P11940",2.19429972846283e-07
"99","Q1KMD3",2.20712845478323e-07
"100","Q08211",2.38581448621636e-07
"101","P22087",2.7743843301891e-07
"102","Q8IWA0",2.7743843301891e-07
"103","Q99848",3.21791600425209e-07
"104","Q5BKZ1",3.91630959551233e-07
"105","P36578",4.10011181768129e-07
"106","Q8NC51",4.11479850944287e-07
"107","Q9BQG0",4.13455697898211e-07
"108","Q9Y6G3",4.37655574813812e-07
"109","P46087",5.30543865559881e-07
"110","O95793",5.47667492532753e-07
"111","Q9UHX1",6.85505220582117e-07
"112","Q6DKI1",6.85505220582117e-07
"113","Q13895",7.25963791756221e-07
"114","Q14152",7.55870506234814e-07
"115","Q9BZE1",7.91444734383191e-07
"116","P23588",8.04368522890248e-07
"117","Q5T653",8.18528139663426e-07
"118","Q8TDN6",8.18528139663426e-07
"119","Q6P2Q9",8.62556472779338e-07
"120","A8MWD9; P62308",8.65227120960014e-07
"121","Q15366",9.8646174200081e-07
"122","Q9Y3X0",9.9473009539495e-07
"123","Q96AE4",1.08204804875996e-06
"124","P42696",1.18681798447715e-06
"125","Q5T6F2",1.32666292870012e-06
"126","Q8NE71",1.36317556870211e-06
"127","Q9BVP2",1.42595942609473e-06
"128","Q9Y520",1.48546319883602e-06
"129","Q07955",1.50868237121756e-06
"130","Q15269",1.53808660276025e-06
"131","P62899",1.54612082659424e-06
"132","Q07666",1.60480011198582e-06
"133","Q86V81",1.62301595018542e-06
"134","O00411",1.65484408525138e-06
"135","Q8IY67",1.79276102172285e-06
"136","Q14157",1.88962472810078e-06
"137","Q15020",2.00490824530942e-06
"138","Q8IY81",2.06920376413692e-06
"139","P62633",2.33550723251072e-06
"140","Q14444",2.42122558381762e-06
"141","Q9BVJ6",2.42122558381762e-06
"142","P61254",2.96166876530452e-06
"143","O95758",3.24094153591335e-06
"144","Q8TED0",3.26122540392901e-06
"145","P49207",3.39736187830599e-06
"146","P13667",3.84493243069963e-06
"147","O15371",4.61634454332646e-06
"148","Q9BZZ5",4.96023402368366e-06
"149","O75821",4.96023402368366e-06
"150","Q9P0M9",5.09980613955599e-06
"151","Q86TG7",5.89215441638682e-06
"152","P83731",7.42821003803706e-06
"153","P23396",8.07468667766686e-06
"154","Q9BZE4",8.87462456203413e-06
"155","P08621",1.03325547930458e-05
"156","Q9HC35",1.14347461067734e-05
"157","P18124",1.14381395211488e-05
"158","P57723",1.14381395211488e-05
"159","Q8N163",1.22451807741024e-05
"160","P15529",1.22981904581065e-05
"161","Q9NX24",1.2633825808388e-05
"162","Q96KR1",1.33275209478351e-05
"163","P13010",1.4202776491744e-05
"164","P30101",1.48412260499322e-05
"165","Q9H0D6",1.56493381228081e-05
"166","Q96T58",1.784409121272e-05
"167","Q15050",1.8519127332611e-05
"168","O75691",1.98485942171765e-05
"169","P02786",2.02368057981751e-05
"170","P61353",2.04818726823093e-05
"171","Q9BUJ2",2.48117111693754e-05
"172","P78316",2.56144694900905e-05
"173","P39023",2.65616558988548e-05
"174","Q01081",2.66599931343661e-05
"175","P17301",3.23097836028682e-05
"176","Q07065",3.59222760012588e-05
"177","Q9H6T0",3.59222760012588e-05
"178","Q8IWR0",3.59222760012588e-05
"179","O75822",3.93052891598028e-05
"180","Q8WVV9",3.93052891598028e-05
"181","Q01082",3.93052891598028e-05
"182","Q2M296",4.0140683927727e-05
"183","Q96DV4",4.31472466696648e-05
"184","Q00577",4.82183823450199e-05
"185","Q8WWM7",4.98349365107588e-05
"186","Q8WTT2",5.35525608854529e-05
"187","O75153",5.66090794577017e-05
"188","O00299",5.66090794577017e-05
"189","B5ME19; Q99613",5.6897100969291e-05
"190","P82675",5.73902994212466e-05
"191","Q7L0Y3",5.98914784094875e-05
"192","O60832",6.34575163232484e-05
"193","P78527",6.92202184430202e-05
"194","P29317",6.97151017439183e-05
"195","P61247",6.97151017439183e-05
"196","A5YKK6",7.74279189612897e-05
"197","P49591",8.06717165314825e-05
"198","P98179",8.06717165314825e-05
"199","Q92616",8.06717165314825e-05
"200","Q96D46",9.46395742280496e-05
"201","P46782",9.5046426158477e-05
"202","Q5VZF2; Q9NR56",0.00010215652133777
"203","Q9BYD2",0.000110474707044691
"204","O95478",0.000115904333452991
"205","Q969X6",0.000115904333452991
"206","Q92499",0.000137231661532295
"207","Q02543",0.000139174640402895
"208","P15170",0.000145766890164245
"209","P05023",0.000154325484561294
"210","Q14554",0.000162372452709528
"211","P52756",0.000163541882369653
"212","O75179",0.000169100898929353
"213","P46013",0.000173759502938991
"214","P62263",0.000177178885381277
"215","Q9NQ55",0.000184009403611557
"216","P60866",0.000187981848721253
"217","O43823",0.000201344140787766
"218","P14678; P63162",0.00020285095735897
"219","P62081",0.000211069039065037
"220","P27635",0.000213206227063133
"221","O95232",0.000249310069312543
"222","Q16629",0.000258486374738362
"223","Q96AG4",0.00026874723693909
"224","Q12874",0.000272597082783451
"225","Q8N1G4",0.000272597082783451
"226","O15230",0.000273943045605402
"227","Q92615",0.000279747079205808
"228","Q14562",0.000279812599035201
"229","P12956",0.000292461338912972
"230","Q14498",0.000313045578890964
"231","P62318",0.00033654740477564
"232","Q9NUL7",0.000351475957014451
"233","Q92542",0.000354619912207977
"234","Q9NVS2",0.000359871210659085
"235","Q13283",0.000362059853573209
"236","Q15032",0.000368777800196528
"237","Q02878",0.000373300714710176
"238","Q03701",0.000382683191293553
"239","P07237",0.000406522115150806
"240","O75152",0.00040821253077333
"241","O15031",0.000424521014920643
"242","P56182",0.00049091754947121
"243","P82933",0.000518025767259648
"244","Q9NVV4",0.000519676662123733
"245","Q969G9",0.000523918439778364
"246","P61619",0.000523918439778364
"247","P07942",0.000537480246607733
"248","P11047",0.000553379776620594
"249","P01024",0.000594747740391598
"250","Q15084",0.000597284295174678
"251","P30876",0.000608663506844601
"252","Q15397",0.000613084465491568
"253","Q9UNX4",0.000667139403515602
"254","P78509",0.000711891047027767
"255","Q14517",0.000769112931310159
"256","Q04837",0.000825953858379658
"257","Q9H9J2",0.000835212945852632
"258","P27144",0.000870437149545797
"259","Q02809",0.000907406100182189
"260","Q96EL2",0.000959407640608866
"261","P04439",0.000972010385572013
"262","Q8TB72",0.00104464429596949
"263","Q86U42",0.00111201547766016
"264","P49411",0.00113313410754904
"265","P62854",0.00118953927586486
"266","Q14258",0.00124348332762625
"267","P52209",0.00127039145168633
"268","Q13501",0.00127039145168633
"269","P14543",0.00131404164426538
"270","Q92896",0.00132842366511658
"271","P98160",0.00136726943404333
"272","Q8NBS9",0.00167858837753813
"273","Q9UQ35",0.00168482040080723
"274","P46776",0.00173471558580099
"275","Q5JVS0",0.0018606525117952
"276","Q9Y2R9",0.00189983340929587
"277","P07814",0.00196296788307468
"278","Q9Y697",0.00208325229519311
"279","O43143",0.00220735017262033
"280","O75533",0.00222241246125406
"281","O60869",0.00232037720156838
"282","P55084",0.0023675132249343
"283","Q8TEM1",0.00237336341350348
"284","P02751",0.00238482686359171
"285","Q96ST2",0.00239469933449157
"286","Q9NXH9",0.00241931517392966
"287","Q9Y2X3",0.00243005748701348
"288","P46781",0.00274922752263481
"289","P04114",0.00274922752263481
"290","Q08J23",0.00300526487849373
"291","P27816",0.00313061108506817
"292","P54886",0.00320422254725263
"293","P84098",0.0033665892131984
"294","Q9H307",0.00337376857609371
"295","P62701",0.00354282089077607
"296","Q86UE4",0.00367964796174086
"297","P29279",0.00384207299789273
"298","Q7Z4V5",0.004265973884924
"299","P38646",0.00431326247033014
"300","P14209",0.00455184278331236
"301","Q9NY93",0.00455184278331236
"302","P02679",0.00479766559629546
"303","P11310",0.00481674411783186
"304","P10646",0.00483365430562456
"305","Q9H0U6",0.00512868162097594
"306","P62888",0.00588755493881942
"307","Q9Y4P3",0.00597395253855373
"308","P78332",0.00628636971797047
"309","Q9Y606",0.00642689258006227
"310","P16615",0.00651666692068912
"311","P46977",0.00652359404416414
"312","Q9NWH9",0.00680013804745397
"313","Q96EU6",0.00680281610478113
"314","P00367",0.00685658244963799
"315","P14625",0.00697527999787786
"316","Q8NBQ5",0.00698601949622343
"317","P18621",0.0070494270244389
"318","Q13443",0.00707613982478814
"319","Q14739",0.00709865297903944
"320","O95857",0.00709865297903944
"321","Q92804",0.00709865297903944
"322","Q9UGP8",0.00714167926471234
"323","O14578",0.00720147121448795
"324","Q9H0A0",0.00724484585962953
"325","P62269",0.00761825614720864
"326","P40939",0.00765077619066683
"327","P11387",0.00808964291257648
"328","P11717",0.00819790237548585
"329","Q15459",0.00852704859207393
"330","P30086",0.0087290620341117
"331","P39019",0.00889993966066369
"332","Q12931",0.00928061256315789
"333","Q9BYD1",0.00964076747924976
"334","P40429",0.0097915227246082
"335","Q9Y295",0.0098000273715255
"336","P38117",0.00993195959947023
"337","Q13772",0.0101138255280192
"338","P42766",0.0103254532326277
"339","P53634",0.0104034414407621
"340","O00567",0.0105980110258259
"341","P05783",0.0107899297071834
"342","Q92688",0.0109154034763718
"343","Q15056",0.0109748353981927
"344","Q9Y6C2",0.010986409762435
"345","P09874",0.0110201985468191
"346","Q9C004",0.011211663125581
"347","Q9BY49",0.0112957672746935
"348","P62873; P62879",0.011449233300734
"349","O60287",0.0119209884835301
"350","P26373",0.011940171449432
"351","P17480",0.0131013465847367
"352","Q9UHN6",0.0135718426410549
"353","Q9HCG8",0.0138150220846534
"354","P62841",0.0139551598806049
"355","Q14694",0.0141162983839408
"356","P49406",0.0142165070858194
"357","Q6PD62",0.0150293383265559
"358","Q8TF01",0.0151069718393904
"359","P62910",0.0151069718393904
"360","P19623",0.0154575331115214
"361","Q13268",0.0154575331115214
"362","P32322",0.0154790807894204
"363","Q9BYC9",0.0154790807894204
"364","P39060",0.0156773213649668
"365","Q8TEQ6",0.0157189305660755
"366","P49588",0.015886263496419
"367","Q9NVI7",0.0159948246506505
"368","Q6P996",0.0160079054551082
"369","Q86XX4",0.0162425152180332
"370","P07602",0.0164504618523341
"371","Q8TD30",0.0164504618523341
"372","Q01780",0.0179392076666835
"373","A6NCS6",0.0184357929719584
"374","P54577",0.0186149662216127
"375","Q13427",0.0186483510979379
"376","Q9Y287",0.0191561187846785
"377","Q02241",0.0193177614946793
"378","Q71RC2",0.0195710249807279
"379","P62424",0.0198848458420738
"380","O94925",0.0198848458420738
"381","P35268",0.0199733928924515
"382","Q7L014",0.0199867260200265
"383","Q13214",0.0202091403995075
"384","Q9NSE4",0.0203420339334595
"385","Q13823",0.0206114046879057
"386","P06748",0.0211422472333369
"387","P30837",0.0211557244489307
"388","P01023",0.0213213729650254
"389","O43493",0.0213573413810401
"390","Q9H8H0",0.0214436729570935
"391","Q9NVN8",0.0216188726771464
"392","P19440",0.0218070835860097
"393","Q13523",0.0219135365794591
"394","Q9Y3A5",0.0226044831520212
"395","P47897",0.0226922147038489
"396","Q7Z417",0.0227641905740694
"397","P98175",0.024051003164644
"398","Q04637",0.024051003164644
"399","P05156",0.0244995170870022
"400","Q9H6R3",0.0247861765523264
"401","P02675",0.0252730220493509
"402","Q9NUK0",0.0255246038478814
"403","P13804",0.0263502281980024
"404","Q9Y3D3",0.0263502281980024
"405","Q7L2J0",0.0263502281980024
"406","Q9UG63",0.0268535853058209
"407","Q13308",0.0268570427102999
"408","P05556",0.0272674592341375
"409","O76094",0.0274077136460226
"410","Q9HCU5",0.0282228103322891
"411","O15226",0.0291428487705408
"412","Q7L1Q6",0.0291428487705408
"413","Q13576",0.0292423330044122
"414","Q07020",0.0302534645532984
"415","P53597",0.0302653855903835
"416","P11177",0.0303514663026605
"417","Q14151",0.0304023407582493
"418","P78344",0.0308311937012367
"419","Q86UP2",0.0308395564307078
"420","P36776",0.0314986188683195
"421","Q06210",0.0318326261141892
"422","P13639",0.0319242861828133
"423","P12259",0.0331718124742819
"424","Q6P2E9",0.0331718124742819
"425","P08581",0.0331718124742819
"426","P30041",0.0333302150749562
"427","P26440",0.0333302150749562
"428","O15027",0.0335892198437789
"429","Q9NYY8",0.0339044123923773
"430","P11498",0.0349631560084831
"431","Q9GZR7",0.0351597812188744
"432","P11117",0.0357306754364249
"433","Q7L8L6",0.0363132280266867
"434","P62861",0.0371032365269933
"435","Q96RP9",0.0377485022459425
"436","Q8IWX8",0.0382505235772767
"437","O14646",0.0384569555201676
"438","Q05519",0.0412384432566826
"439","Q9Y3B4",0.0415997342823378
"440","Q6YN16",0.0415997342823378
"441","Q14204",0.0416792220461923
"442","O75683",0.0417114095288052
"443","O00461",0.0417726004161426
"444","O75400",0.0426872540001659
"445","P00390",0.0430345810457453
"446","Q9BSH4",0.0430345810457453
"447","Q8IV08",0.0430976560510298
"448","Q8IZA0",0.0431677484590995
"449","Q9ULV4",0.0432571738309844
"450","P43897",0.0436321963617685
"451","Q9HD20",0.0447882614199875
"452","Q8N684",0.0448008792602223
"453","P20042",0.0448383541133595
"454","Q9NQZ7",0.0448383541133595
"455","P13473",0.0469108300463041
"456","O00468",0.0480344509090389
"457","O75616",0.0485559324688898
"458","Q9BXS4",0.0485559324688898
"459","P38435",0.0485559324688898
"460","Q92973",0.0486924566239558
"461","Q9NUM4",0.0489390237454999
"462","P23142",0.0492401009254703
"463","P06493",0.0492622591168344
"464","P80404",0.0494405334781598
"465","P20700",0.0501101103235637
"466","P41250",0.0504327485049962
"467","P16435",0.0505526462135108
"468","O95218",0.0505526462135108
"469","P61313",0.0509972375424829
"470","Q15428",0.0514429700817647
"471","P62195",0.0514429700817647
"472","Q9BYJ9",0.0531005036456285
"473","Q96J42",0.0560175303258283
"474","O43670",0.056133096781796
"475","P18583",0.0561781920197279
"476","P22234",0.0567203039157573
"477","Q13085",0.0591251851226476
"478","P02649",0.060513851395893
"479","Q15631",0.060714266003237
"480","P05107",0.060818104811035
"481","P15586",0.0619148751875803
"482","O43824",0.0621376109025734
"483","Q7L4I2",0.0647665018527269
"484","Q07954",0.0651636860377856
"485","P25705",0.0657394347433393
"486","P13995",0.0658188417956929
"487","Q16531",0.0658188417956929
"488","P25325",0.0659345923068122
"489","O95819",0.0659596862020448
"490","P50225",0.0673177820308611
"491","Q86VP1",0.0675567685867625
"492","P13987",0.0682312302403474
"493","O75874",0.0697731263605687
"494","P38919",0.0701700062828803
"495","P07099",0.070262736336026
"496","Q5C9Z4",0.0719347285413508
"497","P02771",0.0721005341200957
"498","O75882",0.0722516874076335
"499","P53992",0.0722516874076335
"500","Q9NUU7; Q9UMR2",0.0742093207032388
"501","Q15582",0.0748722879308653
"502","P04181",0.0782155319501535
"503","O14617",0.078601190289394
"504","P30084",0.079122717569624
"505","P42892",0.0803482559854975
"506","Q92956",0.0812982917261239
"507","P45954",0.0822668905218674
"508","P09327",0.0831692068201864
"509","Q9BT17",0.0834825008137377
"510","O43818",0.083889280109446
"511","P08559",0.0843449707085484
"512","Q9Y388",0.0848019242094767
"513","P52701",0.0852630238681034
"514","P30044",0.0858513647406239
"515","P42677; Q71UM5",0.0858513647406239
"516","P26639",0.0866343350325885
"517","P10515",0.0874444240397839
"518","P27824",0.0876058656861653
"519","P55884",0.087791751849121
"520","Q15043",0.087791751849121
"521","P16219",0.0890243809184075
"522","Q14974",0.0890868322137026
"523","O14965",0.0907253153857615
"524","Q99798",0.0907253153857615
"525","P53999",0.0907253153857615
"526","Q09666",0.090755838889328
"527","Q01105",0.090755838889328
"528","Q9UP95",0.090755838889328
"529","P51114",0.0914229368139901
"530","Q9Y266",0.0914891976262415
"531","O75083",0.0923187218241635
"532","Q8TCJ2",0.0923187218241635
"533","O75390",0.0923574913010656
"534","P78504",0.0933455015047383
"535","P30038",0.0938009454240044
"536","P08865",0.0958249728360912
"537","Q9BU23",0.0961248261672012
"538","P54136",0.0972876338162958
"539","Q02252",0.0972876338162958
"540","P22570",0.0973075372050576
"541","Q5T4S7",0.0981543126819125
"542","Q99714",0.0984845871184227
"543","P34897",0.0984845871184227
"544","P62241",0.0986431501808745
"545","Q8N9Q2",0.0991774663813959
"546","Q14118",0.0991774663813959
"547","Q9P2E9",0.100692768119034
"548","P02749",0.102761484097672
"549","Q9BSJ8",0.102761484097672
"550","Q5BKY9",0.103261568205092
"551","Q9Y639",0.104469058487242
"552","O00541",0.104469058487242
"553","Q9H2H9",0.105143464145505
"554","P04843",0.10557633227221
"555","Q99442",0.10557633227221
"556","P09012",0.106574423015379
"557","P56199",0.107299931469308
"558","O43776",0.10769453441123
"559","Q9BXJ9",0.110529533208858
"560","Q08945",0.112100749749309
"561","Q9HCN3",0.112408250533301
"562","P62249",0.112408250533301
"563","Q68DH5",0.114423579703461
"564","Q9UBB4",0.114423579703461
"565","P19823",0.115614090567193
"566","P26640",0.115967538741962
"567","P50213",0.115967538741962
"568","P05787",0.117008915091223
"569","P35606",0.118601984683408
"570","Q9UQ53",0.120464239687825
"571","Q9UM00",0.120790201360191
"572","P00738",0.124776297974963
"573","Q68D85",0.125157566289043
"574","Q9C0J8",0.1273626734243
"575","P01019",0.127462536147577
"576","P20645",0.127462536147577
"577","P02652",0.128173434122824
"578","P60842",0.128173434122824
"579","Q9H1E3",0.128431936312381
"580","P21333",0.128815804005294
"581","P68363",0.128958725040497
"582","P08238",0.12939379951907
"583","Q9UKJ3",0.130693646584096
"584","Q9P035",0.133050260364815
"585","Q5VUB5",0.133704690659502
"586","Q86SQ4",0.134015173362604
"587","O14745",0.134015173362604
"588","P14314",0.134591666039047
"589","O60637",0.13529978972953
"590","Q8TB96",0.135784901007307
"591","Q99447",0.13582387643193
"592","O14817",0.136646608127282
"593","P05091",0.136734554499141
"594","P24752",0.137727541988472
"595","Q9P2R7",0.137856165063991
"596","P18827",0.138438341706633
"597","P35659",0.139462314898489
"598","Q9NXV6",0.139462314898489
"599","Q92575",0.141874891776032
"600","P51149",0.143234774235518
"601","Q92581",0.144126950741731
"602","P00387",0.144234324784679
"603","P20962",0.146043556905836
"604","P18085",0.14708359685438
"605","Q9BXP5",0.147685528395005
"606","P23458",0.149702867593735
"607","P51812",0.15188216584574
"608","Q9UIQ6",0.152272279661205
"609","Q96P11",0.15317254982566
"610","Q16698",0.153266532892487
"611","P06756",0.153266532892487
"612","Q2TB90",0.153391592131141
"613","P49753; Q86TX2",0.154540005189678
"614","P49748",0.155257661493787
"615","Q13123",0.156399476098318
"616","P35580",0.159467296315048
"617","P31689",0.160194710691441
"618","Q16762",0.160392149345938
"619","P62913",0.161070221857603
"620","Q96CM8",0.161732416496925
"621","Q6UW56",0.161732416496925
"622","P51148",0.161732416496925
"623","P35221",0.161732416496925
"624","Q8TC12",0.163331264638763
"625","Q15904",0.164369519992257
"626","Q9BW71",0.165566557689697
"627","Q4KMQ2",0.165998902376311
"628","P13688",0.166355151995922
"629","Q04828",0.166355151995922
"630","P61224",0.166662188736275
"631","P68104; Q5VTE0",0.166662188736275
"632","O60547",0.167016165584928
"633","Q13409",0.167016165584928
"634","Q9NYU2",0.167456859499133
"635","P78347",0.167745112156145
"636","P50552",0.167745112156145
"637","P09001",0.167745112156145
"638","P08240",0.168702910146484
"639","P78536",0.168702910146484
"640","Q9UDY2",0.168800929110323
"641","P02545",0.169245456078941
"642","Q16822",0.171374297391199
"643","Q15185",0.171620225218827
"644","P30048",0.171962245890289
"645","Q5VTL8",0.17483038168903
"646","P49790",0.17828227854361
"647","O00264",0.179338844409131
"648","Q8N7H5",0.179383153359195
"649","P35613",0.181625733418934
"650","Q14596",0.182655472407561
"651","Q9HCC0",0.182777711351987
"652","P53396",0.183461179952624
"653","P84085",0.183461179952624
"654","Q14008",0.186161624501125
"655","Q96A25",0.186519669205027
"656","P10909",0.188171956091276
"657","P51570",0.188171956091276
"658","O75509",0.191703088909365
"659","O15355",0.192145257320347
"660","Q00610",0.192557405657319
"661","P08185",0.195878652032364
"662","P55795",0.196000647184403
"663","Q9H583",0.196389075878474
"664","P41252",0.196389075878474
"665","Q13423",0.196389075878474
"666","Q66PJ3",0.196389075878474
"667","Q92552",0.196389075878474
"668","P53801",0.196389075878474
"669","P08727",0.197801792847003
"670","Q7Z6E9",0.198924123564642
"671","Q9Y678",0.200076836683648
"672","Q01844",0.200451387110156
"673","P62333",0.203209572226331
"674","Q9NP58",0.20403933404566
"675","Q3T906",0.204762997914126
"676","Q53GQ0",0.205499913759369
"677","P05026",0.205499913759369
"678","P38571",0.206159552163661
"679","Q14126",0.207513158235422
"680","P10809",0.207513158235422
"681","Q9Y3I0",0.207513158235422
"682","Q9Y399",0.208037690943004
"683","Q8WUA8",0.21299232384697
"684","Q9Y2I8",0.213960588740339
"685","P25116",0.213960588740339
