"","deqms_results.sca.adj.pval","p.gene"
"1",3.86245774075036e-13,"Q13148"
"2",6.96951932810718e-13,"Q9UKM9"
"3",6.96951932810718e-13,"P07910"
"4",8.99669687912886e-13,"Q15717"
"5",2.11315644553929e-12,"Q96T37"
"6",1.27698288791159e-11,"Q92879"
"7",1.67667668785036e-11,"Q96PK6"
"8",3.1056044339738e-11,"P26368"
"9",3.28320814528016e-11,"Q9NZI8"
"10",3.66653735768285e-11,"O43390"
"11",6.87466882700108e-11,"Q01085"
"12",1.30201901298156e-10,"P23246"
"13",1.30201901298156e-10,"P26599"
"14",1.52898584528581e-10,"Q15233"
"15",3.68899685860186e-10,"O60506"
"16",3.68899685860186e-10,"Q9NUD5"
"17",4.38011004786196e-10,"P52272"
"18",4.62041479087001e-10,"Q9BQC6"
"19",5.41545925499044e-10,"Q6ZN17"
"20",5.41545925499044e-10,"Q7Z2W4"
"21",7.4629007393558e-10,"P31483"
"22",8.66506770706401e-10,"O00425"
"23",1.16128627667411e-09,"Q96I24"
"24",1.59361525433956e-09,"P14866"
"25",2.16368341253303e-09,"Q6PKG0"
"26",2.66799906088213e-09,"P51991"
"27",3.43728183182242e-09,"P67809"
"28",3.43728183182242e-09,"P22626"
"29",4.49461169195095e-09,"Q4G0J3"
"30",4.58658218466997e-09,"Q9NQ94"
"31",4.58658218466997e-09,"O76021"
"32",5.05087315668573e-09,"Q13151"
"33",5.24898897958642e-09,"P52597"
"34",5.39372538182894e-09,"Q92945"
"35",5.39372538182894e-09,"O75534"
"36",5.54602362516492e-09,"P42704"
"37",6.42079601407075e-09,"P09651"
"38",7.10525657886429e-09,"Q8WXF1"
"39",7.61383367682602e-09,"Q14692"
"40",7.61383367682602e-09,"P33240"
"41",7.61383367682602e-09,"P31942"
"42",9.54702118303286e-09,"Q9BWF3"
"43",1.17432961914804e-08,"Q8TDD1"
"44",1.17827741015628e-08,"P46777"
"45",1.20468485904707e-08,"P05455"
"46",1.34410444643246e-08,"Q9Y6M1"
"47",1.39309991237243e-08,"P43243"
"48",1.46861718256665e-08,"P31943"
"49",1.52945995103707e-08,"Q9NR30"
"50",1.63579301892126e-08,"Q14690"
"51",1.63579301892126e-08,"Q96EP5"
"52",2.28453730583916e-08,"Q9Y4C8"
"53",2.30886904146552e-08,"Q9UQ80"
"54",2.48103589835596e-08,"O14979"
"55",2.52691540106907e-08,"Q96EY7"
"56",2.58762234240494e-08,"P50914"
"57",2.8456608376134e-08,"Q99729"
"58",2.8738083682922e-08,"Q5JTH9"
"59",2.92820157082872e-08,"P38159"
"60",2.92820157082872e-08,"P35637"
"61",3.01021747464186e-08,"Q12905"
"62",3.01021747464186e-08,"Q92900"
"63",3.01021747464186e-08,"P62280"
"64",3.30688181979016e-08,"Q14103"
"65",4.42952622707253e-08,"P17844"
"66",5.07023357893786e-08,"Q9HCE1"
"67",5.52072545441165e-08,"Q9NUQ6"
"68",5.57647467390601e-08,"Q96GQ7"
"69",5.93826476782342e-08,"Q13242"
"70",5.97907628329504e-08,"Q00839"
"71",6.00927789615252e-08,"P19338"
"72",6.00927789615252e-08,"P61978"
"73",6.00927789615252e-08,"Q13310"
"74",6.17878639773299e-08,"Q9NZB2"
"75",6.17878639773299e-08,"Q96E39"
"76",6.17878639773299e-08,"O00571"
"77",6.27365737320142e-08,"Q9NY12"
"78",6.28894261552492e-08,"Q8IX01"
"79",6.3226539756459e-08,"P15880"
"80",6.5958272348129e-08,"Q9NW13"
"81",6.98735917466101e-08,"Q7KZF4"
"82",9.09474049408347e-08,"P84103"
"83",1.06355778025766e-07,"Q14671"
"84",1.23785902391892e-07,"P16989"
"85",1.25497235362733e-07,"Q12849"
"86",1.32788679709712e-07,"P62847"
"87",1.35417223474546e-07,"Q7Z4V0"
"88",1.35417223474546e-07,"Q9GZT3"
"89",1.55005346047941e-07,"Q9NW64"
"90",1.80773074882444e-07,"Q7L2E3"
"91",1.89772967999969e-07,"Q92841"
"92",1.89772967999969e-07,"Q12906"
"93",1.91666468594925e-07,"Q969S3"
"94",1.95315210733048e-07,"Q15365"
"95",2.00406146587137e-07,"Q00341"
"96",2.11029438787585e-07,"Q07002"
"97",2.1160622356463e-07,"P62917"
"98",2.19429972846283e-07,"P11940"
"99",2.20712845478323e-07,"Q1KMD3"
"100",2.38581448621636e-07,"Q08211"
"101",2.7743843301891e-07,"P22087"
"102",2.7743843301891e-07,"Q8IWA0"
"103",3.21791600425209e-07,"Q99848"
"104",3.91630959551233e-07,"Q5BKZ1"
"105",4.10011181768129e-07,"P36578"
"106",4.11479850944287e-07,"Q8NC51"
"107",4.13455697898211e-07,"Q9BQG0"
"108",4.37655574813812e-07,"Q9Y6G3"
"109",5.30543865559881e-07,"P46087"
"110",5.47667492532753e-07,"O95793"
"111",6.85505220582117e-07,"Q9UHX1"
"112",6.85505220582117e-07,"Q6DKI1"
"113",7.25963791756221e-07,"Q13895"
"114",7.55870506234814e-07,"Q14152"
"115",7.91444734383191e-07,"Q9BZE1"
"116",8.04368522890248e-07,"P23588"
"117",8.18528139663426e-07,"Q5T653"
"118",8.18528139663426e-07,"Q8TDN6"
"119",8.62556472779338e-07,"Q6P2Q9"
"120",8.65227120960014e-07,"A8MWD9; P62308"
"121",9.8646174200081e-07,"Q15366"
"122",9.9473009539495e-07,"Q9Y3X0"
"123",1.08204804875996e-06,"Q96AE4"
"124",1.18681798447715e-06,"P42696"
"125",1.32666292870012e-06,"Q5T6F2"
"126",1.36317556870211e-06,"Q8NE71"
"127",1.42595942609473e-06,"Q9BVP2"
"128",1.48546319883602e-06,"Q9Y520"
"129",1.50868237121756e-06,"Q07955"
"130",1.53808660276025e-06,"Q15269"
"131",1.54612082659424e-06,"P62899"
"132",1.60480011198582e-06,"Q07666"
"133",1.62301595018542e-06,"Q86V81"
"134",1.65484408525138e-06,"O00411"
"135",1.79276102172285e-06,"Q8IY67"
"136",1.88962472810078e-06,"Q14157"
"137",2.00490824530942e-06,"Q15020"
"138",2.06920376413692e-06,"Q8IY81"
"139",2.33550723251072e-06,"P62633"
"140",2.42122558381762e-06,"Q14444"
"141",2.42122558381762e-06,"Q9BVJ6"
"142",2.96166876530452e-06,"P61254"
"143",3.24094153591335e-06,"O95758"
"144",3.26122540392901e-06,"Q8TED0"
"145",3.39736187830599e-06,"P49207"
"146",3.84493243069963e-06,"P13667"
"147",4.61634454332646e-06,"O15371"
"148",4.96023402368366e-06,"Q9BZZ5"
"149",4.96023402368366e-06,"O75821"
"150",5.09980613955599e-06,"Q9P0M9"
"151",5.89215441638682e-06,"Q86TG7"
"152",7.42821003803706e-06,"P83731"
"153",8.07468667766686e-06,"P23396"
"154",8.87462456203413e-06,"Q9BZE4"
"155",1.03325547930458e-05,"P08621"
"156",1.14347461067734e-05,"Q9HC35"
"157",1.14381395211488e-05,"P18124"
"158",1.14381395211488e-05,"P57723"
"159",1.22451807741024e-05,"Q8N163"
"160",1.22981904581065e-05,"P15529"
"161",1.2633825808388e-05,"Q9NX24"
"162",1.33275209478351e-05,"Q96KR1"
"163",1.4202776491744e-05,"P13010"
"164",1.48412260499322e-05,"P30101"
"165",1.56493381228081e-05,"Q9H0D6"
"166",1.784409121272e-05,"Q96T58"
"167",1.8519127332611e-05,"Q15050"
"168",1.98485942171765e-05,"O75691"
"169",2.02368057981751e-05,"P02786"
"170",2.04818726823093e-05,"P61353"
"171",2.48117111693754e-05,"Q9BUJ2"
"172",2.56144694900905e-05,"P78316"
"173",2.65616558988548e-05,"P39023"
"174",2.66599931343661e-05,"Q01081"
"175",3.23097836028682e-05,"P17301"
"176",3.59222760012588e-05,"Q07065"
"177",3.59222760012588e-05,"Q9H6T0"
"178",3.59222760012588e-05,"Q8IWR0"
"179",3.93052891598028e-05,"O75822"
"180",3.93052891598028e-05,"Q8WVV9"
"181",3.93052891598028e-05,"Q01082"
"182",4.0140683927727e-05,"Q2M296"
"183",4.31472466696648e-05,"Q96DV4"
"184",4.82183823450199e-05,"Q00577"
"185",4.98349365107588e-05,"Q8WWM7"
"186",5.35525608854529e-05,"Q8WTT2"
"187",5.66090794577017e-05,"O75153"
"188",5.66090794577017e-05,"O00299"
"189",5.6897100969291e-05,"B5ME19; Q99613"
"190",5.73902994212466e-05,"P82675"
"191",5.98914784094875e-05,"Q7L0Y3"
"192",6.34575163232484e-05,"O60832"
"193",6.92202184430202e-05,"P78527"
"194",6.97151017439183e-05,"P29317"
"195",6.97151017439183e-05,"P61247"
"196",7.74279189612897e-05,"A5YKK6"
"197",8.06717165314825e-05,"P49591"
"198",8.06717165314825e-05,"P98179"
"199",8.06717165314825e-05,"Q92616"
"200",9.46395742280496e-05,"Q96D46"
"201",9.5046426158477e-05,"P46782"
"202",0.00010215652133777,"Q5VZF2; Q9NR56"
"203",0.000110474707044691,"Q9BYD2"
"204",0.000115904333452991,"O95478"
"205",0.000115904333452991,"Q969X6"
"206",0.000137231661532295,"Q92499"
"207",0.000139174640402895,"Q02543"
"208",0.000145766890164245,"P15170"
"209",0.000154325484561294,"P05023"
"210",0.000162372452709528,"Q14554"
"211",0.000163541882369653,"P52756"
"212",0.000169100898929353,"O75179"
"213",0.000173759502938991,"P46013"
"214",0.000177178885381277,"P62263"
"215",0.000184009403611557,"Q9NQ55"
"216",0.000187981848721253,"P60866"
"217",0.000201344140787766,"O43823"
"218",0.00020285095735897,"P14678; P63162"
"219",0.000211069039065037,"P62081"
"220",0.000213206227063133,"P27635"
"221",0.000249310069312543,"O95232"
"222",0.000258486374738362,"Q16629"
"223",0.00026874723693909,"Q96AG4"
"224",0.000272597082783451,"Q12874"
"225",0.000272597082783451,"Q8N1G4"
"226",0.000273943045605402,"O15230"
"227",0.000279747079205808,"Q92615"
"228",0.000279812599035201,"Q14562"
"229",0.000292461338912972,"P12956"
"230",0.000313045578890964,"Q14498"
"231",0.00033654740477564,"P62318"
"232",0.000351475957014451,"Q9NUL7"
"233",0.000354619912207977,"Q92542"
"234",0.000359871210659085,"Q9NVS2"
"235",0.000362059853573209,"Q13283"
"236",0.000368777800196528,"Q15032"
"237",0.000373300714710176,"Q02878"
"238",0.000382683191293553,"Q03701"
"239",0.000406522115150806,"P07237"
"240",0.00040821253077333,"O75152"
"241",0.000424521014920643,"O15031"
"242",0.00049091754947121,"P56182"
"243",0.000518025767259648,"P82933"
"244",0.000519676662123733,"Q9NVV4"
"245",0.000523918439778364,"Q969G9"
"246",0.000523918439778364,"P61619"
"247",0.000537480246607733,"P07942"
"248",0.000553379776620594,"P11047"
"249",0.000594747740391598,"P01024"
"250",0.000597284295174678,"Q15084"
"251",0.000608663506844601,"P30876"
"252",0.000613084465491568,"Q15397"
"253",0.000667139403515602,"Q9UNX4"
"254",0.000711891047027767,"P78509"
"255",0.000769112931310159,"Q14517"
"256",0.000825953858379658,"Q04837"
"257",0.000835212945852632,"Q9H9J2"
"258",0.000870437149545797,"P27144"
"259",0.000907406100182189,"Q02809"
"260",0.000959407640608866,"Q96EL2"
"261",0.000972010385572013,"P04439"
"262",0.00104464429596949,"Q8TB72"
"263",0.00111201547766016,"Q86U42"
"264",0.00113313410754904,"P49411"
"265",0.00118953927586486,"P62854"
"266",0.00124348332762625,"Q14258"
"267",0.00127039145168633,"P52209"
"268",0.00127039145168633,"Q13501"
"269",0.00131404164426538,"P14543"
"270",0.00132842366511658,"Q92896"
"271",0.00136726943404333,"P98160"
"272",0.00167858837753813,"Q8NBS9"
"273",0.00168482040080723,"Q9UQ35"
"274",0.00173471558580099,"P46776"
"275",0.0018606525117952,"Q5JVS0"
"276",0.00189983340929587,"Q9Y2R9"
"277",0.00196296788307468,"P07814"
"278",0.00208325229519311,"Q9Y697"
"279",0.00220735017262033,"O43143"
"280",0.00222241246125406,"O75533"
"281",0.00232037720156838,"O60869"
"282",0.0023675132249343,"P55084"
"283",0.00237336341350348,"Q8TEM1"
"284",0.00238482686359171,"P02751"
"285",0.00239469933449157,"Q96ST2"
"286",0.00241931517392966,"Q9NXH9"
"287",0.00243005748701348,"Q9Y2X3"
"288",0.00274922752263481,"P46781"
"289",0.00274922752263481,"P04114"
"290",0.00300526487849373,"Q08J23"
"291",0.00313061108506817,"P27816"
"292",0.00320422254725263,"P54886"
"293",0.0033665892131984,"P84098"
"294",0.00337376857609371,"Q9H307"
"295",0.00354282089077607,"P62701"
"296",0.00367964796174086,"Q86UE4"
"297",0.00384207299789273,"P29279"
"298",0.004265973884924,"Q7Z4V5"
"299",0.00431326247033014,"P38646"
"300",0.00455184278331236,"P14209"
"301",0.00455184278331236,"Q9NY93"
"302",0.00479766559629546,"P02679"
"303",0.00481674411783186,"P11310"
"304",0.00483365430562456,"P10646"
"305",0.00512868162097594,"Q9H0U6"
"306",0.00588755493881942,"P62888"
"307",0.00597395253855373,"Q9Y4P3"
"308",0.00628636971797047,"P78332"
"309",0.00642689258006227,"Q9Y606"
"310",0.00651666692068912,"P16615"
"311",0.00652359404416414,"P46977"
"312",0.00680013804745397,"Q9NWH9"
"313",0.00680281610478113,"Q96EU6"
"314",0.00685658244963799,"P00367"
"315",0.00697527999787786,"P14625"
"316",0.00698601949622343,"Q8NBQ5"
"317",0.0070494270244389,"P18621"
"318",0.00707613982478814,"Q13443"
"319",0.00709865297903944,"Q14739"
"320",0.00709865297903944,"O95857"
"321",0.00709865297903944,"Q92804"
"322",0.00714167926471234,"Q9UGP8"
"323",0.00720147121448795,"O14578"
"324",0.00724484585962953,"Q9H0A0"
"325",0.00761825614720864,"P62269"
"326",0.00765077619066683,"P40939"
"327",0.00808964291257648,"P11387"
"328",0.00819790237548585,"P11717"
"329",0.00852704859207393,"Q15459"
"330",0.0087290620341117,"P30086"
"331",0.00889993966066369,"P39019"
"332",0.00928061256315789,"Q12931"
"333",0.00964076747924976,"Q9BYD1"
"334",0.0097915227246082,"P40429"
"335",0.0098000273715255,"Q9Y295"
"336",0.00993195959947023,"P38117"
"337",0.0101138255280192,"Q13772"
"338",0.0103254532326277,"P42766"
"339",0.0104034414407621,"P53634"
"340",0.0105980110258259,"O00567"
"341",0.0107899297071834,"P05783"
"342",0.0109154034763718,"Q92688"
"343",0.0109748353981927,"Q15056"
"344",0.010986409762435,"Q9Y6C2"
"345",0.0110201985468191,"P09874"
"346",0.011211663125581,"Q9C004"
"347",0.0112957672746935,"Q9BY49"
"348",0.011449233300734,"P62873; P62879"
"349",0.0119209884835301,"O60287"
"350",0.011940171449432,"P26373"
"351",0.0131013465847367,"P17480"
"352",0.0135718426410549,"Q9UHN6"
"353",0.0138150220846534,"Q9HCG8"
"354",0.0139551598806049,"P62841"
"355",0.0141162983839408,"Q14694"
"356",0.0142165070858194,"P49406"
"357",0.0150293383265559,"Q6PD62"
"358",0.0151069718393904,"Q8TF01"
"359",0.0151069718393904,"P62910"
"360",0.0154575331115214,"P19623"
"361",0.0154575331115214,"Q13268"
"362",0.0154790807894204,"P32322"
"363",0.0154790807894204,"Q9BYC9"
"364",0.0156773213649668,"P39060"
"365",0.0157189305660755,"Q8TEQ6"
"366",0.015886263496419,"P49588"
"367",0.0159948246506505,"Q9NVI7"
"368",0.0160079054551082,"Q6P996"
"369",0.0162425152180332,"Q86XX4"
"370",0.0164504618523341,"P07602"
"371",0.0164504618523341,"Q8TD30"
"372",0.0179392076666835,"Q01780"
"373",0.0184357929719584,"A6NCS6"
"374",0.0186149662216127,"P54577"
"375",0.0186483510979379,"Q13427"
"376",0.0191561187846785,"Q9Y287"
"377",0.0193177614946793,"Q02241"
"378",0.0195710249807279,"Q71RC2"
"379",0.0198848458420738,"P62424"
"380",0.0198848458420738,"O94925"
"381",0.0199733928924515,"P35268"
"382",0.0199867260200265,"Q7L014"
"383",0.0202091403995075,"Q13214"
"384",0.0203420339334595,"Q9NSE4"
"385",0.0206114046879057,"Q13823"
"386",0.0211422472333369,"P06748"
"387",0.0211557244489307,"P30837"
"388",0.0213213729650254,"P01023"
"389",0.0213573413810401,"O43493"
"390",0.0214436729570935,"Q9H8H0"
"391",0.0216188726771464,"Q9NVN8"
"392",0.0218070835860097,"P19440"
"393",0.0219135365794591,"Q13523"
"394",0.0226044831520212,"Q9Y3A5"
"395",0.0226922147038489,"P47897"
"396",0.0227641905740694,"Q7Z417"
"397",0.024051003164644,"P98175"
"398",0.024051003164644,"Q04637"
"399",0.0244995170870022,"P05156"
"400",0.0247861765523264,"Q9H6R3"
"401",0.0252730220493509,"P02675"
"402",0.0255246038478814,"Q9NUK0"
"403",0.0263502281980024,"P13804"
"404",0.0263502281980024,"Q9Y3D3"
"405",0.0263502281980024,"Q7L2J0"
"406",0.0268535853058209,"Q9UG63"
"407",0.0268570427102999,"Q13308"
"408",0.0272674592341375,"P05556"
"409",0.0274077136460226,"O76094"
"410",0.0282228103322891,"Q9HCU5"
"411",0.0291428487705408,"O15226"
"412",0.0291428487705408,"Q7L1Q6"
"413",0.0292423330044122,"Q13576"
"414",0.0302534645532984,"Q07020"
"415",0.0302653855903835,"P53597"
"416",0.0303514663026605,"P11177"
"417",0.0304023407582493,"Q14151"
"418",0.0308311937012367,"P78344"
"419",0.0308395564307078,"Q86UP2"
"420",0.0314986188683195,"P36776"
"421",0.0318326261141892,"Q06210"
"422",0.0319242861828133,"P13639"
"423",0.0331718124742819,"P12259"
"424",0.0331718124742819,"Q6P2E9"
"425",0.0331718124742819,"P08581"
"426",0.0333302150749562,"P30041"
"427",0.0333302150749562,"P26440"
"428",0.0335892198437789,"O15027"
"429",0.0339044123923773,"Q9NYY8"
"430",0.0349631560084831,"P11498"
"431",0.0351597812188744,"Q9GZR7"
"432",0.0357306754364249,"P11117"
"433",0.0363132280266867,"Q7L8L6"
"434",0.0371032365269933,"P62861"
"435",0.0377485022459425,"Q96RP9"
"436",0.0382505235772767,"Q8IWX8"
"437",0.0384569555201676,"O14646"
"438",0.0412384432566826,"Q05519"
"439",0.0415997342823378,"Q9Y3B4"
"440",0.0415997342823378,"Q6YN16"
"441",0.0416792220461923,"Q14204"
"442",0.0417114095288052,"O75683"
"443",0.0417726004161426,"O00461"
"444",0.0426872540001659,"O75400"
"445",0.0430345810457453,"P00390"
"446",0.0430345810457453,"Q9BSH4"
"447",0.0430976560510298,"Q8IV08"
"448",0.0431677484590995,"Q8IZA0"
"449",0.0432571738309844,"Q9ULV4"
"450",0.0436321963617685,"P43897"
"451",0.0447882614199875,"Q9HD20"
"452",0.0448008792602223,"Q8N684"
"453",0.0448383541133595,"P20042"
"454",0.0448383541133595,"Q9NQZ7"
"455",0.0469108300463041,"P13473"
"456",0.0480344509090389,"O00468"
"457",0.0485559324688898,"O75616"
"458",0.0485559324688898,"Q9BXS4"
"459",0.0485559324688898,"P38435"
"460",0.0486924566239558,"Q92973"
"461",0.0489390237454999,"Q9NUM4"
"462",0.0492401009254703,"P23142"
"463",0.0492622591168344,"P06493"
"464",0.0494405334781598,"P80404"
